time [ns], J [arb. u.]
0.000000000000000000e+00,8.827482027846736412e-03
5.001667222407468749e-03,3.826235549775973757e-03
1.000333444481493750e-02,6.816156640583114629e-03
1.500500166722240625e-02,8.228547328912256056e-03
2.000666888962987500e-02,6.221789783169838148e-03
2.500833611203734375e-02,8.178150306017082901e-04
3.001000333444481250e-02,6.716373679524176819e-03
3.501167055685228124e-02,6.254353088887098892e-03
4.001333777925974999e-02,9.004529881782975462e-03
4.501500500166721874e-02,6.622492377405149455e-03
5.001667222407468749e-02,5.104703559162281079e-03
5.501833944648215624e-02,3.001908022839604520e-03
6.002000666888962499e-02,5.168208661304963571e-03
6.502167389129709374e-02,1.352437263960695269e-03
7.002334111370456249e-02,7.973028369904185467e-03
7.502500833611203124e-02,9.948983020387179577e-03
8.002667555851949999e-02,5.104654949692754261e-03
8.502834278092696874e-02,2.683517416797057652e-03
9.003001000333443749e-02,5.334926930684475918e-03
9.503167722574190623e-02,5.107371680352601169e-04
1.000333444481493750e-01,3.149202253884052487e-03
1.050350116705568437e-01,4.552351612304013535e-03
1.100366788929643125e-01,3.608688719747637011e-03
1.150383461153717812e-01,6.605963720610738034e-03
1.200400133377792500e-01,9.539012402684302061e-03
1.250416805601867187e-01,9.766687792817526498e-03
1.300433477825941875e-01,4.336344586547447554e-03
1.350450150050016562e-01,9.048132899245856994e-03
1.400466822274091250e-01,7.447238287987795191e-03
1.450483494498165937e-01,7.972179178899384266e-03
1.500500166722240625e-01,7.602172125618849446e-03
1.550516838946315312e-01,4.420202946833284114e-04
1.600533511170390000e-01,7.242931285165993445e-03
1.650550183394464687e-01,8.355682580932619410e-03
1.700566855618539375e-01,1.002299532238341839e-02
1.750583527842614062e-01,1.786806986254213655e-03
1.800600200066688750e-01,8.965280803195198669e-03
1.850616872290763437e-01,3.007667435752818703e-03
1.900633544514838125e-01,6.566417697796859965e-03
1.950650216738912812e-01,4.931179982509466958e-03
2.000666888962987500e-01,4.806131609580050444e-03
2.050683561187062187e-01,3.395454080985711633e-03
2.100700233411136875e-01,8.451625431715853107e-03
2.150716905635211562e-01,1.468259201732412646e-03
2.200733577859286250e-01,5.982788821114236669e-04
2.250750250083360937e-01,8.185577750009845333e-03
2.300766922307435625e-01,9.971249969523697174e-03
2.350783594531510312e-01,2.923479394012992033e-03
2.400800266755585000e-01,5.137790938786833796e-04
2.450816938979659687e-01,5.261671328537679583e-03
2.500833611203734375e-01,2.759071999713881215e-03
2.550850283427809062e-01,1.475627882493295642e-03
2.600866955651883750e-01,1.479301977747149444e-03
2.650883627875958437e-01,1.101561313538309498e-03
2.700900300100033125e-01,8.660532198565594822e-03
2.750916972324107812e-01,8.650810158785656595e-03
2.800933644548182500e-01,1.553422629048805282e-04
2.850950316772257187e-01,8.930983474017228224e-03
2.900966988996331875e-01,9.796979828861393513e-03
2.950983661220406562e-01,3.393945130500418839e-03
3.001000333444481250e-01,4.630664532952098733e-03
3.051017005668555937e-01,8.719719168003460877e-03
3.101033677892630624e-01,2.889817944559215385e-03
3.151050350116705312e-01,7.473478457170207485e-03
3.201067022340779999e-01,8.502398511239692494e-03
3.251083694564854687e-01,7.775292749743767558e-03
3.301100366788929374e-01,9.159844491151510407e-03
3.351117039013004062e-01,3.846158111694520081e-03
3.401133711237078749e-01,7.771665739915206879e-03
3.451150383461153437e-01,9.621746866145882912e-03
3.501167055685228124e-01,5.152661402120035407e-03
3.551183727909302812e-01,5.008099506027088518e-03
3.601200400133377499e-01,1.942280617440628144e-03
3.651217072357452187e-01,7.364206870161602372e-03
3.701233744581526874e-01,4.327709322660550952e-03
